case,cost,ROI,Outcomes,Profit_Chance,Profit_Stat,Min_Return,Min_Return_p,Avg_loss_return,Avg_loss_return_p,Max_Return,Max_Return_p,Avg_gain_return,Avg_gain_return_p,Roll_50,Roll_50_p,Roll_100,Roll_100_p,Roll_1000,Roll_1000_p,Roll_100000,Roll_100000_p
Snakebite Case,3.0,-998.6683333333323,30,6.812,93188,-2.93,2.3333333333333335,-253.39303999999998,-84.46434666666666,214.97,7265.666666666667,223.43299000000002,74.47766333333334,-129.2,-89.72222222222221,-31.91999999999996,-10.857142857142843,-356.7399999999998,-11.903236569903228,-29960.04999999999,-9.98668333333333
Lady Luck Case,150.0,-992.1180666666668,23,21.575,78425,-130.22,13.18666666666667,-7683.340560000001,-51.222270400000006,3074.57,2149.7133333333336,6195.163460000001,41.301089733333335,-2561.38,-35.57472222222222,-2023.1800000000003,-13.487866666666667,-14824.369999999995,-9.87304029304029,-1488177.1000000015,-9.921180666666677
Fantastic Case,777.0,-996.7610810810811,57,23.912,76088,-337.17,56.606177606177596,-21976.89895,-28.28429723294723,6948.68,994.2960102960104,14232.065349999997,18.316686422136417,-10803.920000000002,-32.336416150369644,-15118.61,-19.654212654212657,-70520.32999999996,-9.066908638337203,-7744833.599999994,-9.967610810810804
2021 Dust 2 Case,2.49,-995.0196787148604,39,20.196,79804,-1.9300000000000002,22.48995983935743,-142.89271000000002,-57.38663052208836,145.41,5939.759036144578,118.11671999999999,47.43643373493975,-43.96000000000001,-33.31060089414262,-103.73000000000002,-42.94704591562125,-677.5499999999997,-27.29272153810829,-24775.99000000002,-9.9501967871486
2021 Mirage Case,1.99,-1002.0718592964822,35,16.296,83704,-1.67,16.08040201005025,-135.04913,-67.86388442211054,63.88,3310.050251256282,115.10789999999999,57.843165829145725,-59.730000000000004,-56.63221769223477,-59.860000000000014,-31.663581063210795,-68.01999999999998,-3.401085027125677,-19941.22999999998,-10.020718592964815
2021 Train Case,3.0,-990.9606666666659,34,17.726,82274,-1.98,34.0,-146.24467,-48.748223333333335,224.44,7581.333333333333,116.51585000000001,38.838616666666674,-53.18000000000001,-36.930555555555564,-91.98000000000002,-30.35643564356436,-317.25,-10.575,-29728.820000000007,-9.909606666666669
2021 Vertigo Case,2.0,-992.9389999999999,32,16.884,83116,-1.54,23.0,-114.35710999999999,-57.178554999999996,227.34,11467.0,94.49833000000001,47.249165000000005,-49.510000000000005,-50.52040816326531,-86.28,-44.02040816326531,-323.0799999999999,-16.186372745490978,-19858.780000000028,-9.929390000000014
Maelstrom Case,99.99,-992.539893989398,19,21.937,78063,-84.08,15.911591159115911,-5432.44504,-54.329883388338835,1880.01,1980.19801980198,4440.0044,44.40448444844485,-1736.5300000000002,-34.73407340734074,-2398.45,-24.22919059582726,-10082.669999999984,-10.093772139976744,-992440.6399999987,-9.925398939893977
Email Case,9.99,-991.6028028028027,21,23.754,76246,-8.25,17.417417417417415,-492.17387,-49.266653653653655,235.45,2456.856856856857,393.11275,39.350625625625625,-140.04999999999995,-28.61024289595717,-186.4699999999999,-18.665665665665657,-941.710000000001,-9.426526526526537,-99061.12,-9.916028028028027
E-mail Case,3.0,-1007.693000000001,23,15.048,84952,-2.7199999999999998,9.333333333333334,-124.83903,-41.613009999999996,249.46,8415.333333333334,94.60823999999998,31.536079999999995,-52.11,-36.1875,-62.25999999999999,-20.547854785478545,-378.09000000000015,-12.615615615615623,-30230.78999999998,-10.076929999999994
Znorux Case,5.0,-991.3384000000002,19,24.214,75786,-4.28,14.399999999999999,-205.25498999999996,-41.05099799999999,100.21,2104.2,155.68806999999998,31.137613999999996,-64.10000000000005,-25.64000000000002,-117.8300000000001,-24.046938775510224,-515.0700000000006,-10.311711711711723,-49566.92000000004,-9.913384000000008
Hanami Case,30.0,-993.4118333333332,18,16.894,83106,-23.33,22.233333333333334,-1442.92247,-48.09741566666666,584.74,2049.133333333333,1144.8989199999999,38.163297333333325,-345.29999999999995,-23.019999999999996,-916.48,-31.17278911564626,-2777.9300000000003,-9.250516150516152,-298023.5499999998,-9.934118333333327
Bloody Asiimov Case,7.5,-991.8937333333338,26,23.113,76887,-6.14,18.133333333333333,-314.86096,-41.98146133333333,206.16,2848.8,240.46892999999997,32.062523999999996,-116.13,-32.25833333333333,-159.51999999999998,-21.703401360544213,-713.0500000000002,-9.516850183516851,-74392.03000000003,-9.918937333333337
Factory New Case,25.0,-991.3789199999993,21,17.375,82625,-21.94,12.24,-1279.3155199999999,-51.1726208,483.12,2032.48,1031.47079,41.2588316,-462.72,-37.773061224489794,-20.6599999999994,-0.8263999999999759,-2438.4500000000007,-9.734331337325353,-247844.72999999998,-9.913789199999998
Countdown Case,3.0,-991.6429999999993,19,20.275,79725,-2.62,12.666666666666668,-158.51199,-52.83733,103.05,3535.0,128.76270000000002,42.92090000000001,-45.06,-30.04,-82.17000000000004,-27.666666666666686,-290.97000000000025,-9.699000000000009,-29749.28999999998,-9.916429999999993
Farm Desert Eagle Case,1.0,-996.3699999999985,13,8.269,91731,-0.97,3.0,-82.43557,-82.43557,77.37,7837.0,72.47187000000001,72.47187000000001,-19.740000000000002,-40.28571428571429,-29.50999999999999,-29.21782178217821,-112.55999999999995,-11.24475524475524,-9963.699999999997,-9.963699999999998
Farm T Pistols Case,1.0,-997.9800000000008,12,6.456,93544,-0.9299999999999999,7.000000000000001,-80.55715000000001,-80.55715000000001,62.73,6373.0,70.57735,70.57735,-13.649999999999984,-27.857142857142826,-13.129999999999981,-13.129999999999981,-99.21000000000004,-9.921000000000003,-9979.799999999988,-9.979799999999988
Farm CT Pistols Case,1.0,-1000.9690000000003,12,3.952,96048,-0.9299999999999999,7.000000000000001,-83.44609999999999,-83.44609999999999,50.21,5121.0,73.43641,73.43641,-15.469999999999999,-30.939999999999994,-38.65,-39.43877551020408,-94.38999999999999,-9.448448448448447,-10009.690000000002,-10.00969
Mid Case,7.0,-991.4439999999994,17,15.182,84818,-5.34,23.71428571428571,-347.82163999999995,-49.68880571428571,63.760000000000005,1010.8571428571429,278.42056,39.774365714285715,-72.75999999999999,-21.21282798833819,-28.31000000000006,-4.0442857142857225,-707.8900000000003,-10.10261167404025,-69401.08000000007,-9.91444000000001
The Rivalry Case,5.0,-990.0924000000012,39,20.997,79003,-4.35,13.0,-270.49690999999996,-54.09938199999999,529.34,10686.800000000001,220.99229,44.198458,-118.78,-49.49166666666667,-189.79000000000008,-38.732653061224504,-478.8899999999994,-9.568231768231756,-49504.62000000005,-9.90092400000001
Anti-Rush Case,0.4,-995.0550000000007,20,18.319,81681,-0.34,15.0,-20.27043,-50.676075,42.120000000000005,10630.0,16.29021,40.72552499999999,-7.460000000000003,-38.06122448979593,-7.8600000000000065,-19.45544554455447,-65.04999999999995,-16.246253746253732,-3980.219999999994,-9.950549999999984
Ace Clutch Case,10.0,-992.5677000000004,20,21.715,78285,-9.02,9.8,-427.56873,-42.756873,228.61,2386.1,328.31196,32.831196,-144.76999999999998,-29.54489795918367,-222.27999999999997,-22.007920792079204,-902.6099999999988,-9.026099999999989,-99256.77000000002,-9.925677000000002
Recoil Case,2.5,-997.9220000000023,21,17.205,82795,-2.44,2.4,-170.00822,-68.003288,186.71,7568.4,145.06016999999997,58.024067999999986,-57.43999999999999,-49.94782608695652,-81.22000000000003,-32.488000000000014,-163.68000000000075,-6.54065934065937,-24948.04999999996,-9.979219999999984
Dreams And Nightmares Case,2.5,-994.9467999999994,16,19.916,80084,-2.42,3.2,-155.98054,-62.392216,228.76,9250.4,131.10687000000001,52.44274800000001,-26.819999999999993,-21.893877551020402,-57.170000000000016,-22.64158415841585,-174.8099999999995,-6.99939939939938,-24873.670000000013,-9.949468000000007
The Legendary Howls Case,275.0,-990.9607345454557,16,20.967,79033,-202.64,26.312727272727273,-12025.17254,-43.72790014545454,7450.68,2809.338181818182,9300.030519999998,33.818292799999995,-2823.129999999999,-20.950871985157693,-4524.9000000000015,-16.454181818181823,-30318.859999999986,-11.025039999999994,-2725142.0199999996,-9.909607345454544
AK Blues Case,5.0,-993.0273999999994,23,16.889,83111,-4.71,5.8,-276.96245999999996,-55.39249199999999,285.39,5807.799999999999,227.31109,45.462218,-86.00999999999999,-34.403999999999996,-108.34999999999997,-21.888888888888882,-552.2900000000009,-11.067935871743504,-49651.36999999994,-9.930273999999988
CSGOMercy Case,100.0,-992.0330500000003,17,11.23,88770,-78.38,21.62,-4898.2029299999995,-48.982029299999994,2180.0,2280.0,3906.16988,39.0616988,-1802.0900000000001,-36.777346938775516,-999.3500000000004,-9.993500000000004,-9010.660000000003,-9.001658341658345,-992033.0500000007,-9.920330500000007
Overtimes? Case,150.0,-990.0046999999998,28,21.169,78831,-92.94,38.04,-5680.6878400000005,-37.87125226666667,2684.14,1889.4266666666667,4195.68079,27.97120526666667,-2378.49,-32.360408163265305,-3280.2300000000014,-21.86820000000001,-14205.23000000001,-9.470153333333341,-1485007.0500000007,-9.900047000000004
Classy Case,40.0,-992.3539000000009,20,15.91,84090,-28.9,27.749999999999996,-1770.6314399999999,-44.265786,835.36,2188.4,1373.6898799999997,34.34224699999999,-596.8600000000001,-29.843000000000007,-992.6500000000001,-25.322704081632658,-3678.510000000002,-9.187087912087916,-396941.5599999996,-9.92353899999999
JordanR Case,70.0,-995.1086428571425,20,19.355,80645,-56.42,19.400000000000002,-3522.9307799999997,-50.327582571428565,5257.52,7610.742857142857,2826.35473,40.37649614285714,-978.8100000000004,-27.96600000000001,-780.3199999999997,-11.147428571428568,-4869.969999999987,-6.943213572854272,-696576.0500000007,-9.951086428571438
EL Classico 2.0 Case,15.0,-991.374466666667,22,12.729,87271,-7.85,47.66666666666667,-547.6654599999999,-36.51103066666666,263.72,1858.1333333333337,398.95928999999995,26.597285999999997,-167.89999999999998,-22.843537414965983,-275.30999999999995,-18.728571428571424,-1510.9099999999999,-10.072733333333332,-148706.16999999993,-9.91374466666666
Pickle World Case,0.35,-993.4142857142847,24,12.395,87605,-0.26,25.71428571428572,-17.956469999999996,-51.304199999999994,45.28,13037.142857142859,14.47952,41.37005714285715,-7.269999999999996,-43.27380952380951,-12.5,-36.075036075036074,-45.78000000000003,-13.05389221556887,-3476.9500000000044,-9.93414285714287
BIG CHICKEN Case,0.3,-1008.5899999999993,25,23.607,76393,-0.24,20.0,-9.984499999999999,-33.281666666666666,6.05,2116.666666666667,6.95873,23.195766666666668,-0.6900000000000013,-4.423076923076931,-3.4499999999999993,-11.386138613861386,-31.379999999999995,-10.439121756487026,-3025.7700000000004,-10.085900000000002
KAWAII Case,0.35,-990.9599999999987,30,21.225,78775,-0.31,11.428571428571429,-19.475689999999997,-55.64482857142856,8.6,2557.142857142857,16.007330000000003,45.735228571428586,-6.33,-36.17142857142857,-12.09,-35.247813411078724,-36.09000000000003,-10.332092756942467,-3468.3600000000006,-9.909600000000001
Retro Stickers Case,1.0,-991.8580000000006,18,11.201,88799,-0.76,24.0,-38.6912,-38.6912,25.67,2667.0,28.772619999999993,28.772619999999993,-14.420000000000002,-29.42857142857143,-21.409999999999997,-21.198019801980195,-97.50999999999999,-9.731536926147703,-9918.580000000002,-9.918580000000002
Bon Voyage Case,3.75,-991.8845333333343,24,24.534,75466,-3.49,6.933333333333333,-197.15533,-52.574754666666664,61.44,1738.4,159.95965999999996,42.65590933333332,-50.69,-27.58639455782313,-27.91999999999996,-7.371617161716161,-403.15999999999985,-10.783283182881975,-37195.67000000004,-9.918845333333344
The Last Dance Case,5.0,-1007.7202000000009,26,18.518,81482,-4.68,6.4,-308.22777,-61.645554000000004,159.36,3287.2,257.84175999999997,51.56835199999999,-126.53000000000002,-53.84255319148937,21.590000000000032,4.275247524752482,-513.1899999999987,-10.243313373253466,-50386.01000000001,-10.077202000000002
Ahrora Case,20.0,-994.6225499999999,28,19.203,80797,-16.56,17.2,-953.31103,-47.6655515,598.46,3092.3,754.3865199999999,37.719325999999995,-309.14,-31.544897959183672,-648.1800000000001,-33.759375000000006,-1765.7199999999975,-8.802193419740766,-198924.51000000024,-9.946225500000013
CS 1.6 Memories Case,3.0,-993.0203333333342,25,13.809,86191,-2.35,21.666666666666668,-134.17704000000003,-44.72568000000001,118.58,4052.6666666666665,104.38642999999999,34.795476666666666,-43.58000000000001,-28.483660130718963,-70.73000000000002,-23.814814814814824,-177.9000000000001,-5.912263210368896,-29790.609999999986,-9.93020333333333
Cobblestone 1v4 Case,5.0,-992.7393999999998,15,17.452,82548,-4.53,9.4,-275.52918,-55.105836,101.05,2121.0,225.89221,45.178442000000004,-61.16,-24.963265306122448,-46.55000000000007,-9.404040404040417,-404.6199999999999,-8.092399999999998,-49636.97000000003,-9.927394000000007
ECO Rush B Case,20.0,-989.5568,20,15.501,84499,-14.34,28.300000000000004,-855.23476,-42.761738,1768.83,8944.15,657.3234000000001,32.866170000000004,-262.98,-26.834693877551025,-489.07000000000016,-24.700505050505058,-2536.5000000000036,-12.695195195195213,-197911.3600000001,-9.895568000000004
Major Legend Case,10.0,-990.0955999999999,24,12.876,87124,-6.74,32.599999999999994,-374.51762,-37.451762,984.92,9949.199999999999,275.50806,27.550806,-134.06000000000006,-26.812000000000012,-217.48000000000002,-21.321568627450983,-1150.7000000000007,-11.507000000000007,-99009.55999999994,-9.900955999999994
HLTV Confirmed Case,16.0,-989.8104999999996,23,15.821,84179,-14.55,9.0625,-819.1446,-51.1965375,548.0,3525.0,660.77492,41.2984325,-252.91000000000008,-32.93098958333334,-410.6299999999999,-25.664374999999996,-1393.630000000001,-8.692801896207591,-158369.67999999993,-9.898104999999996
Karrigan's Choice Case,75.0,-990.6308799999993,21,16.641,83359,-66.59,11.213333333333333,-3486.80496,-46.490732799999996,2544.2,3492.2666666666664,2743.8318,36.584424,-1101.5700000000002,-29.375200000000007,-1430.7200000000003,-18.88739273927393,-7307.459999999992,-9.74327999999999,-742973.1600000001,-9.906308800000001
Full Flash Case,0.3,-995.2833333333324,18,9.99,90010,-0.24,20.0,-15.09047,-50.301566666666666,18.81,6370.0,12.10462,40.348733333333335,-6.839999999999998,-47.49999999999999,-11.05,-37.20538720538721,-22.579999999999984,-7.519147519147514,-2985.850000000002,-9.95283333333334
Revolution Case,3.0,-1001.9889999999989,16,13.595,86405,-2.94,2.0,-212.67578,-70.89192666666666,72.51,2517.0,182.61611,60.872036666666666,25.549999999999983,16.378205128205117,-41.829999999999984,-13.8052805280528,-292.0,-9.743076409743075,-30059.669999999984,-10.019889999999995
JOISPOI24 Case,15.0,-994.7907333333329,19,16.993,83007,-13.23,11.8,-906.00514,-60.40034266666667,1821.0,12240.0,756.78653,50.452435333333334,-241.53999999999996,-32.20533333333333,-440.0,-29.629629629629626,-2348.620000000001,-15.657466666666672,-149218.6100000001,-9.94790733333334
